video_id,query_id,query_type,query_text,time_range,segment_ids,grounding_visual,grounding_audio,selected_captions
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q08,emotion_state,At what point does the shirtless man appear sad or in distress as he stumbles and collapses with a chest wound?,"[45.0, 50.0]",s010,"A shirtless man with a bloody wound on his chest is seen in a dimly lit, ornate hallway; He stumbles forward, clutching his chest, and then collapses to the floor; the man's movements suggesting severe pain and distress","The audio is dominated by a loud, sustained, low-frequency electronic tone, creating a sense of tension and unease.","[s010] Visual: A shirtless man with a bloody wound on his chest is seen in a dimly lit, ornate hallway. He stumbles forward, clutching his chest, and then collapses to the floor. The scene is tense and dramatic, with the man's movements suggesting severe pain and distress. | Audio: The audio is dominated by a loud, sustained, low-frequency electronic tone, creating a sense of tension and unease."
emostim_05_TheSilenceOfTheLambs_b_clip_1,emostim_05_TheSilenceOfTheLambs_b_clip_1_q04,emotion_state,"When does the woman with brown hair and blue eyes show fear, looking upwards with a concerned expression and then shifting to worry or sadness?","[80.0, 85.0]",s017,"woman... looking upwards with a concerned expression.; her expression shifting to one of worry or sadness.; a close-up of a person's arm and hand, which are covered in a dark, slimy substance and appear to be in distress.","A person is heard speaking in a hushed, urgent tone, followed by a loud, sustained electronic tone.","[s017] Visual: A woman with brown hair and blue eyes is shown in a close-up, looking upwards with a concerned expression. She then turns her head to the side, her expression shifting to one of worry or sadness. The scene cuts to a close-up of a person's arm and hand, which are covered in a dark, slimy substance and appear to be in distress. | Audio: A person is heard speaking in a hushed, urgent tone, followed by a loud, sustained electronic tone."
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q03,evidence_cue,When does the young boy exhibit distress by wailing with tears on his face?,"[15.0, 20.0]",s004,"young boy is shown in a close-up; He is crying, with tears on his face and his mouth open as if wailing","the boy's loud, distressed crying and wailing","[s004] Visual: A young boy with blonde hair, wearing a grey shirt, is shown in a close-up. He is crying, with tears on his face and his mouth open as if wailing. An adult's hand is visible on his shoulder, and the background is dark. | Audio: The audio consists of the boy's loud, distressed crying and wailing."
meld_01_dia337,meld_01_dia337_q03,emotion_state,When does the man in the pink shirt look surprised?,"[65.0, 67.9]",s014,looks up and to his left with a surprised expression,,"[s014] Visual: The man in the pink plaid shirt looks at his watch and then at the man in the blue plaid shirt, who is turned towards him. The man in the pink shirt then looks up and to his left with a surprised expression. The man in the blue shirt is mostly seen from the back and side. | Audio: A male voice speaks, followed by a short, high-pitched electronic beep."
meld_02_dia224,meld_02_dia224_q03,emotion_state,When does the man in the light blue polo shirt appear happy?,"[5.0, 10.0]",s002,"A man in a light blue polo shirt sits on a brown couch, laughing heartily with his head tilted back and eyes closed.; He extends his right hand forward in a gesture of greeting or excitement.",the sound of a person laughing.,"[s002] Visual: A man in a light blue polo shirt sits on a brown couch, laughing heartily with his head tilted back and eyes closed. He extends his right hand forward in a gesture of greeting or excitement. The background shows a casual indoor setting with other people and furniture, suggesting a social gathering. | Audio: A male voice is heard speaking, followed by the sound of a person laughing."
meld_03_dia572,meld_03_dia572_q04,evidence_cue,"When does the woman speak in an agitated tone, showing frustration?","[25.0, 30.0]",s006,,A woman speaks in an agitated tone,"[s006] Visual: A man in a blue plaid shirt stands beside a hospital bed, holding a brown leather bag. A woman with dark hair lies in the bed, wearing a hospital gown and looking at the man. The man gestures with his hand as he speaks to her. | Audio: A woman speaks in an agitated tone, followed by a man's voice."
meld_04_dia362,meld_04_dia362_q03,emotion_state,When does the woman in the hospital bed seem disappointed with a pained expression?,"[10.0, 20.0]","s003,s004",woman with her eyes closed and a pained expression; man placing his hand on her stomach; woman looks up at him with a pained expression,"loud, sustained electronic beep, likely from a medical monitor","[s003] Visual: A woman lies in a hospital bed, wearing a white gown, with her eyes closed and a pained expression. A man in a light-colored jacket leans over her, looking down with a concerned expression and placing his hand on her stomach. The scene is set in a hospital room with medical equipment visible in the background. | Audio: A man speaks in a calm, reassuring tone, followed by a loud, sustained electronic beep, likely from a medical monitor.
[s004] Visual: A man in a light-colored jacket leans over a woman lying in a hospital bed. The woman, wearing a white hospital gown, looks up at him with a pained expression. The man gently places his hand on her stomach as he speaks to her. | Audio: A man speaks in a concerned tone, followed by a loud, sustained electronic beep."
meld_06_dia823,meld_06_dia823_q03,explicit_event,When does the woman holding a small black object smile happily towards someone off-screen?,"[20.0, 25.0]",s005,pulls a small black object from a colorful bag; holds the object up; smiles; looking towards someone off-screen,speaks in a conversational tone,"[s005] Visual: A woman with long blonde hair, wearing a patterned blouse, sits and pulls a small black object from a colorful bag. She holds the object up and smiles while looking towards someone off-screen. In the background, a man in a dark shirt and a woman in a white shirt are sitting on a couch. | Audio: A woman speaks in a conversational tone, followed by a man speaking in a similar tone. The audio is clear and the speech is easily understandable."
meld_07_dia208,meld_07_dia208_q03,explicit_event,When does the woman with curly dark hair enthusiastically urge someone to try the cake while pointing at it?,"[20.0, 25.0]",s005,pointing at a piece of cake on a white plate,speaks with an enthusiastic and persuasive tone,"[s005] Visual: The scene is set in a cozy living room with a brown couch. A woman with curly dark hair, wearing a blue long-sleeved shirt and jeans, sits on the left, pointing at a piece of cake on a white plate held by a man in a beige turtleneck sweater. A woman with long blonde hair, wearing a red long-sleeved shirt and dark pants, sits on the right, looking at the cake with a neutral expression. | Audio: A woman speaks with an enthusiastic and persuasive tone, urging someone to try the cake. The audio is clear and the speech is easily understandable."
moviechat_01_162,moviechat_01_162_q04,evidence_cue,"When does the man with dark hair rest his hand on his forehead and look down with a weary expression, conveying sadness?","[85.0, 90.0]",s018,"A man with dark hair and a mustache sits in the driver's seat of a car, his right hand resting on his forehead.; He looks down and to his right with a weary expression.","A male voice speaks in a low, weary tone.","[s018] Visual: A man with dark hair and a mustache sits in the driver's seat of a car, his right hand resting on his forehead. He is wearing a black shirt and has a white bandage on his right forearm. He looks down and to his right with a weary expression. | Audio: A male voice speaks in a low, weary tone."
moviechat_02_154,moviechat_02_154_q24,evidence_cue,"When does the young man with dark hair look down and then forward with a serious expression, while a low, continuous hum is audible, suggesting fear?","[115.0, 120.0]",s024,"A young man with dark, styled hair and a silver earring is shown in a medium close-up.; He looks down and to his right, then slowly lifts his gaze to look forward and slightly to his left.","A low, continuous hum is audible in the background, possibly from machinery or an appliance.","[s024] Visual: A young man with dark, styled hair and a silver earring is shown in a medium close-up. He is wearing a black leather jacket over a red shirt and a silver chain necklace. He looks down and to his right, then slowly lifts his gaze to look forward and slightly to his left. | Audio: A low, continuous hum is audible in the background, possibly from machinery or an appliance."
moviechat_03_160,moviechat_03_160_q03,emotion_state,When does the man with the shaved head look up with surprise?,"[215.0, 220.0]",s044,another man with a shaved head stands beside him in the darkness.; looking up with a surprised expression,"A loud, sustained, low-pitched electronic tone plays throughout the clip. A male voice shouts a single, high-pitched word.","[s044] Visual: In a dark, outdoor setting at night, a man in a dark jacket is seen from the side, holding a small, dark object up to his eye, as if looking through it. The scene cuts to a wider view of a dark road next to a body of water, where a black car with its red taillights on is parked, and a few indistinct figures are near it. The final shot shows a man in a dark jacket looking up with a surprised expression, while another man with a shaved head stands beside him in the darkness. | Audio: A loud, sustained, low-pitched electronic tone plays throughout the clip. A male voice shouts a single, high-pitched word."
moviechat_04_159,moviechat_04_159_q04,evidence_cue,"When does the woman in the white shirt widen her eyes while looking at a laptop, showing surprise?","[115.0, 120.0]",s024,looking at a laptop with a surprised expression,,"[s024] Visual: The video opens with a close-up of a dark, textured surface, possibly a piece of fabric or a bag, with a white string or thread visible. The scene then cuts to a woman in a white shirt and blue lanyard sitting at a desk, looking at a laptop with a surprised expression. A man in a light-colored shirt and tie is then shown in a similar office setting, looking down and then up with a serious expression. | Audio: A female voice speaks in Mandarin Chinese, followed by a male voice also speaking in Mandarin Chinese. The audio quality is clear and the speech is easily understandable."
moviechat_05_30,moviechat_05_30_q04,emotion_state,When do the group of people in dark clothing show fear while running frantically?,"[115.0, 120.0]",s024,"group of people in dark clothing are running frantically across a wooden bridge at night; faces showing urgency and fear; fiery explosion on the left side, sending debris into the air","loud, chaotic explosion; sounds of people running and shouting in panic","[s024] Visual: A group of people in dark clothing are running frantically across a wooden bridge at night. The bridge is illuminated by a bright, fiery explosion on the left side, sending debris into the air. The camera follows the group as they move quickly, their faces showing urgency and fear. | Audio: The audio features a loud, chaotic explosion followed by the sounds of people running and shouting in panic."
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q008,emotion_state,"When does the woman appear frightened, looking out a frosted window with a shocked expression amidst panicked breathing?","[105.0, 110.0]",s022,"A woman in a blue robe runs into a bathroom, followed by a young child.; The woman pushes the child behind her and looks out a frosted window.",The sound of a door being broken down is followed by a woman's panicked breathing and a child's whimpering.,"[s022] Visual: A man in a red shirt swings an axe at a door, breaking it open. A woman in a blue robe runs into a bathroom, followed by a young child. The woman pushes the child behind her and looks out a frosted window. | Audio: The sound of a door being broken down is followed by a woman's panicked breathing and a child's whimpering."
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q08,evidence_cue,When does the woman's head tilt back and mouth open as if exclaiming with excitement?,"[115.0, 120.0]",s024,"Her head is tilted back, her eyes are closed, and her mouth is open as if she is singing or exclaiming.","The woman is audibly gasping and groaning, with sounds of exertion and distress.","[s024] Visual: A woman with blonde, curly hair, wearing a white collared shirt and a dark cardigan, is shown in a close-up. She is in a classroom setting, with a man in a blue shirt and a black baseball cap visible behind her. Her head is tilted back, her eyes are closed, and her mouth is open as if she is singing or exclaiming. | Audio: The woman is audibly gasping and groaning, with sounds of exertion and distress. The audio is clear and focused on her vocalizations."
emostim_05_TheSilenceOfTheLambs_b_clip_1,emostim_05_TheSilenceOfTheLambs_b_clip_1_q05,evidence_cue,"When does the woman with brown hair and blue eyes look to the side with a concerned expression and slightly open mouth, signaling fear?","[90.0, 95.0]",s019,"woman... looking off to the side with a concerned expression, her mouth slightly open as if speaking.","A woman speaks in a concerned tone, followed by a man speaking in a calm tone.","[s019] Visual: A woman with brown hair and blue eyes is shown in a close-up. She is looking off to the side with a concerned expression, her mouth slightly open as if speaking. She is wearing a dark-colored top. | Audio: A woman speaks in a concerned tone, followed by a man speaking in a calm tone."
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q04,evidence_cue,When does the young boy's face contort in distress while crying over an injured hand?,"[35.0, 45.0]","s008,s009","young boy is shown in a close-up, his face wet with tears; He is looking down at his hands, which are covered in a red substance resembling blood; his face contorted in distress as he cries; holding a hand that has a visible wound with blood on it; his face contorted in distress as he cries","A child's voice is heard shouting urgently, followed by a loud, sustained electronic tone.; sound of a child crying, with audible sobs and whimpers; The crying is the dominant sound, indicating a state of distress","[s008] Visual: A young boy with blonde hair is shown in a close-up, his face wet with tears. He is looking down at his hands, which are covered in a red substance resembling blood. His expression is one of distress and he appears to be crying. | Audio: A child's voice is heard shouting urgently, followed by a loud, sustained electronic tone.
[s009] Visual: A young boy with blonde hair is shown in a close-up, his face contorted in distress as he cries. He is holding a hand that has a visible wound with blood on it. The background is dark, focusing all attention on the boy and the injured hand. | Audio: The audio contains the sound of a child crying, with audible sobs and whimpers. The crying is the dominant sound, indicating a state of distress."
meld_01_dia337,meld_01_dia337_q04,evidence_cue,When does the man in the pink shirt look up and to his left with a surprised expression?,"[65.0, 67.9]",s014,looks up and to his left with a surprised expression,,"[s014] Visual: The man in the pink plaid shirt looks at his watch and then at the man in the blue plaid shirt, who is turned towards him. The man in the pink shirt then looks up and to his left with a surprised expression. The man in the blue shirt is mostly seen from the back and side. | Audio: A male voice speaks, followed by a short, high-pitched electronic beep."
meld_02_dia224,meld_02_dia224_q05,emotion_state,When does the man in the red t-shirt appear surprised?,"[25.0, 30.0]",s006,"A man in a red t-shirt sits on a brown couch, looking down with a surprised expression.","The audio contains the sound of a crowd laughing, followed by upbeat music.","[s006] Visual: A man in a red t-shirt sits on a brown couch, looking down with a surprised expression. Another man in a blue shirt is bent over, searching for something on the floor. The scene is set in a living room with a coffee table and other people in the background. | Audio: The audio contains the sound of a crowd laughing, followed by upbeat music."
meld_03_dia572,meld_03_dia572_q05,emotion_state,"When does the woman look concerned, indicating sadness?","[35.0, 40.0]",s008,woman looks at the man with a concerned expression; woman looking concerned,A woman sighs and then speaks in a concerned tone,"[s008] Visual: A woman with brown hair lies in a hospital bed, wearing a white gown and covered with a pink blanket. A man in a light-colored jacket stands beside her, gesturing with his hands as he speaks. The woman raises her hands to her head, then lowers them and looks at the man with a concerned expression. | Audio: A man speaks in a calm, reassuring tone. A woman sighs and then speaks in a concerned tone. The audio is clear and easy to understand."
meld_04_dia362,meld_04_dia362_q04,evidence_cue,"When does the woman show a pained expression, indicating disappointment?","[10.0, 20.0]","s003,s004",woman with her eyes closed and a pained expression; woman looks up at him with a pained expression,"loud, sustained electronic beep, likely from a medical monitor","[s003] Visual: A woman lies in a hospital bed, wearing a white gown, with her eyes closed and a pained expression. A man in a light-colored jacket leans over her, looking down with a concerned expression and placing his hand on her stomach. The scene is set in a hospital room with medical equipment visible in the background. | Audio: A man speaks in a calm, reassuring tone, followed by a loud, sustained electronic beep, likely from a medical monitor.
[s004] Visual: A man in a light-colored jacket leans over a woman lying in a hospital bed. The woman, wearing a white hospital gown, looks up at him with a pained expression. The man gently places his hand on her stomach as he speaks to her. | Audio: A man speaks in a concerned tone, followed by a loud, sustained electronic beep."
meld_06_dia823,meld_06_dia823_q05,emotion_state,At what point does the blonde woman appear engaged and happy while speaking and gesturing?,"[30.0, 40.0]","s007,s008",gestures with her right hand; Her expression is engaged; appears to be in the middle of a conversation; raises her right hand and gestures with an open palm; Her expression is neutral as she speaks,"The audio is clear and the tone is conversational; A man responds with a polite, slightly relieved tone.","[s007] Visual: A woman with long blonde hair, wearing a patterned blouse, stands in a room with a wooden cabinet behind her. She gestures with her right hand while speaking to someone off-screen. Her expression is engaged and she appears to be in the middle of a conversation. | Audio: A woman speaks, followed by a man's voice. The audio is clear and the tone is conversational.
[s008] Visual: A woman with long blonde hair, wearing a patterned blouse, stands and speaks. She gestures with her right hand. The scene then cuts to a man in a blue t-shirt and a woman in a white shirt and blue pants sitting on a couch, both looking towards the speaker with attentive expressions. | Audio: A woman speaks in a calm, conversational tone. A man responds with a polite, slightly relieved tone. The audio is clear and sounds like a scene from a television show."
meld_07_dia208,meld_07_dia208_q04,emotion_state,When does the woman with curly dark hair seem excited while gesturing towards the cake?,"[20.0, 25.0]",s005,pointing at a piece of cake on a white plate,speaks with an enthusiastic and persuasive tone,"[s005] Visual: The scene is set in a cozy living room with a brown couch. A woman with curly dark hair, wearing a blue long-sleeved shirt and jeans, sits on the left, pointing at a piece of cake on a white plate held by a man in a beige turtleneck sweater. A woman with long blonde hair, wearing a red long-sleeved shirt and dark pants, sits on the right, looking at the cake with a neutral expression. | Audio: A woman speaks with an enthusiastic and persuasive tone, urging someone to try the cake. The audio is clear and the speech is easily understandable."
moviechat_01_162,moviechat_01_162_q05,emotion_state,"When does the man with the bandaged hand look pensive and sad, holding it to his mouth?","[105.0, 110.0]",s022,"The man in the foreground has a bandaged hand and is holding it up to his mouth, while the man in the background looks forward.; The man in the foreground is looking to his right with a pensive expression.",A male voice speaks in Mandarin Chinese.; The tone is conversational and reflective.,"[s022] Visual: The scene is dark, likely inside a car at night. A man in a black shirt is in the foreground, looking to his right with a pensive expression. Another man is visible in the background, out of focus, with his hand near his face. | Audio: A male voice speaks in Mandarin Chinese. The tone is conversational and reflective."
moviechat_02_154,moviechat_02_154_q30,evidence_cue,"What moment shows a man with black hair looking down and to the left with a serious expression in a dimly lit room, while a calm voice speaks in Cantonese, contributing to a sense of fear?","[145.0, 150.0]",s030,"A man with short black hair, wearing a blue denim shirt over a dark t-shirt, is shown in a dimly lit room.; He is looking down and to his left, with a serious expression on his face.","A male voice speaks in a calm, questioning tone in what sounds like Cantonese.","[s030] Visual: A man with short black hair, wearing a blue denim shirt over a dark t-shirt, is shown in a dimly lit room. He is looking down and to his left, with a serious expression on his face. The background is dark and out of focus. | Audio: A male voice speaks in a calm, questioning tone in what sounds like Cantonese. The audio is clear and the speech is easily understandable."
moviechat_03_160,moviechat_03_160_q04,evidence_cue,"When does the man with the shaved head look up with surprise, as a man stands beside him in the darkness?","[215.0, 220.0]",s044,another man with a shaved head stands beside him in the darkness.; looking up with a surprised expression,"A loud, sustained, low-pitched electronic tone plays throughout the clip. A male voice shouts a single, high-pitched word.","[s044] Visual: In a dark, outdoor setting at night, a man in a dark jacket is seen from the side, holding a small, dark object up to his eye, as if looking through it. The scene cuts to a wider view of a dark road next to a body of water, where a black car with its red taillights on is parked, and a few indistinct figures are near it. The final shot shows a man in a dark jacket looking up with a surprised expression, while another man with a shaved head stands beside him in the darkness. | Audio: A loud, sustained, low-pitched electronic tone plays throughout the clip. A male voice shouts a single, high-pitched word."
moviechat_04_159,moviechat_04_159_q05,emotion_state,When do the two men on the balcony appear happy while smiling and talking?,"[260.0, 265.0]",s053,"man on the left, wearing a light-colored shirt, smiles and gestures with his hand; man on the right, in a dark suit, looks at him and smiles back","male voice speaks in Mandarin, followed by a short laugh","[s053] Visual: Two men stand on a balcony at night. The man on the left, wearing a light-colored shirt, smiles and gestures with his hand. The man on the right, in a dark suit, looks at him and smiles back. | Audio: A male voice speaks in Mandarin, followed by a short laugh."
moviechat_05_30,moviechat_05_30_q06,emotion_state,When do the group of people exhibit fear while running frantically through a corridor?,"[120.0, 125.0]",s025,"group of people in dark clothing are running frantically through a dimly lit, narrow corridor; people stumbling; debris falling from above","sound of a large vehicle, possibly a train or a bus, moving at high speed; screeching and crashing sounds; sounds of destruction and panic","[s025] Visual: A group of people in dark clothing are running frantically through a dimly lit, narrow corridor. The scene is chaotic, with debris falling from above and people stumbling as they try to escape. The camera follows the group from behind, capturing their hurried movements and the sense of urgency in their actions. | Audio: The audio is dominated by the sound of a large vehicle, possibly a train or a bus, moving at high speed. There are also sounds of screeching and crashing, suggesting a collision or derailment. The overall atmosphere is tense and chaotic, with the sounds of destruction and panic."
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q009,explicit_event,"When does the man angrily break down a door with an axe, then speak with a wide smile, signaling intimidation?","[125.0, 135.0]","s026,s027","A man in a red jacket swings an axe at a wooden door, breaking a hole in it.; He then peers through the hole with a wide, unsettling smile.; A man with long hair and a beard peers through a hole in a wooden door, smiling widely.; He then uses a piece of wood to force the door open further, revealing a chain lock.","A loud crash is heard as the door breaks. The man then speaks in a calm, conversational tone.; A man's voice says, 'I'm home.' The sound of a door being forced open is heard.","[s026] Visual: A man in a red jacket swings an axe at a wooden door, breaking a hole in it. He then peers through the hole with a wide, unsettling smile. The scene is set in a hallway with floral wallpaper and a round mirror on the wall. | Audio: A loud crash is heard as the door breaks. The man then speaks in a calm, conversational tone.
[s027] Visual: A man with long hair and a beard peers through a hole in a wooden door, smiling widely. He then uses a piece of wood to force the door open further, revealing a chain lock. The man's hand is visible as he pushes the wood against the door. | Audio: A man's voice says, 'I'm home.' The sound of a door being forced open is heard."
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q09,explicit_event,"When does the woman shout 'Yes!' repeatedly in an excited tone, throwing her head back?","[120.0, 125.0]",s025,She throws her head back and shakes her hair vigorously.,"A woman is shouting 'Yes!' repeatedly in a high-pitched, excited tone.","[s025] Visual: A woman with voluminous blonde hair, wearing a white collared shirt and a dark jacket, is shown in a close-up. She is in a restaurant setting, with a man in a blue shirt and a baseball cap visible behind her. She throws her head back and shakes her hair vigorously. | Audio: A woman is shouting 'Yes!' repeatedly in a high-pitched, excited tone."
emostim_05_TheSilenceOfTheLambs_b_clip_1,emostim_05_TheSilenceOfTheLambs_b_clip_1_q06,explicit_event,"When does a gloved hand manipulate a person's face covered in a pinkish substance, a disturbing act related to fear?","[95.0, 100.0]",s020,"woman with brown hair and a concerned expression looks down.; a close-up of a person's face, which appears to be covered in a pinkish substance.; A gloved hand is seen manipulating the person's face, followed by the appearance of a medical instrument near the mouth.","A male voice speaks, followed by the sound of a zipper being opened.","[s020] Visual: A woman with brown hair and a concerned expression looks down. The scene cuts to a close-up of a person's face, which appears to be covered in a pinkish substance. A gloved hand is seen manipulating the person's face, followed by the appearance of a medical instrument near the mouth. | Audio: A male voice speaks, followed by the sound of a zipper being opened."
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q05,explicit_event,When does the young boy cry or shout while leaning over another person?,"[45.0, 50.0]",s010,"A young boy is shown in a close-up; He is leaning over another person, whose hands are visible in the foreground; The boy's face is contorted as he appears to be crying or shouting","A child's voice shouts loudly, followed by a long, sustained electronic tone.","[s010] Visual: A young boy with blonde hair, wearing a grey shirt, is shown in a close-up. He is leaning over another person, whose hands are visible in the foreground. The boy's face is contorted as he appears to be crying or shouting. | Audio: A child's voice shouts loudly, followed by a long, sustained electronic tone."
meld_02_dia224,meld_02_dia224_q06,explicit_event,"When does the woman in the white shirt enter the room with a bag and then place it on the floor, showing excitement?","[30.0, 35.0]",s007,"A woman in a white shirt and jeans enters a room carrying a black bag, then places it on the floor.",,"[s007] Visual: A woman in a white shirt and jeans enters a room carrying a black bag, then places it on the floor. She turns and speaks to a man sitting in an armchair, who is wearing a blue shirt and grey pants and has his hand on his head. The room has purple walls, a window, and various pieces of furniture. | Audio: A woman speaks, followed by a man speaking. The audio is clear and the voices are easily distinguishable."
meld_03_dia572,meld_03_dia572_q07,emotion_state,At what point does the woman appear angry while shouting?,"[45.0, 50.0]",s010,Her expression is one of distress or anger,"A woman is shouting angrily, her voice high-pitched and strained","[s010] Visual: A woman with dark, wavy hair is lying in a hospital bed, wearing a light-colored gown with a pattern. She is propped up on pillows, looking off to the side with her hands resting on her stomach. Her expression is one of distress and she appears to be speaking forcefully. | Audio: A woman is shouting angrily, her voice high-pitched and strained. The audio is clear and the shouting is the dominant sound."
meld_04_dia362,meld_04_dia362_q05,emotion_state,"When does the woman in the hospital gown appear sad, crying with a shaky voice?","[25.0, 30.0]",s006,"woman visibly distressed; woman in white lab coat stands beside the bed, holding the patient's hand","woman is speaking in a distressed and urgent tone, her voice shaky and pleading","[s006] Visual: A woman in a white hospital gown lies in a hospital bed, visibly distressed. A man in a light-colored shirt leans over her, looking concerned, while a woman in a white lab coat stands beside the bed, holding the patient's hand. The scene is set in a hospital room with medical equipment visible in the background. | Audio: A woman is speaking in a distressed and urgent tone, her voice shaky and pleading. The audio quality is clear, capturing the emotional intensity of her speech."
meld_07_dia208,meld_07_dia208_q06,evidence_cue,When does the woman in the red top exclaim in surprise and give a thumbs-up as the man leaves?,"[30.0, 35.0]",s007,gives a thumbs-up gesture as he leaves,woman's sarcastic response; woman exclaims in surprise,"[s007] Visual: A man in a beige turtleneck sweater sits on a couch between two women, one in a blue top and one in a red top. He gestures with his hands while speaking, then stands up and walks away. The woman in the red top gives a thumbs-up gesture as he leaves. | Audio: A man speaks, followed by a woman's sarcastic response. The man says goodbye, and the woman exclaims in surprise."
moviechat_01_162,moviechat_01_162_q06,emotion_state,When does the man with the bandaged hand appear serious and sad while holding it to his mouth?,"[115.0, 130.0]","s024,s025,s026","The man in the foreground has a bandaged hand and is holding it up to his mouth, while the man in the background looks forward.; The man in the foreground is looking forward with a serious expression.; The man in the foreground has his right hand wrapped in white bandages and is holding it up to his mouth.; The man in the foreground looks serious.; The man in the foreground has a white bandage wrapped around his right hand and is holding it up to his mouth.","A male voice speaks in Mandarin Chinese.; The tone is calm and conversational, as if in a quiet setting.; A male voice speaks in a calm, conversational tone.; A male voice speaks in a low, serious tone, asking a question.; The audio is clear and the speech is intelligible.","[s024] Visual: The scene is set inside a car at night. A man with dark hair, wearing a dark shirt, is in the foreground, looking forward with a serious expression. His right hand is raised to his mouth, holding a white, segmented object. In the background, another man with a shaved head is visible in the driver's seat, looking ahead. | Audio: A male voice speaks in Mandarin Chinese. The tone is calm and conversational, as if in a quiet setting.
[s025] Visual: Two men are inside a car. The man in the foreground, with dark hair, has his right hand wrapped in white bandages and is holding it up to his mouth. The man in the background, who is driving, turns his head to look at the man in the foreground. | Audio: A male voice speaks in a calm, conversational tone.
[s026] Visual: The scene is set inside a car. A man with dark hair, wearing a black shirt, is in the passenger seat. He has a white bandage wrapped around his right hand and is holding it up to his mouth. In the driver's seat, another man with a shaved head and a black shirt is looking forward, his expression serious. | Audio: A male voice speaks in a low, serious tone, asking a question. The audio is clear and the speech is intelligible."
moviechat_02_154,moviechat_02_154_q32,evidence_cue,"What moment shows a man with glasses looking down and then slightly up with a faint smile, as two men sit side-by-side looking forward, with a calm Cantonese conversation, suggesting a tense underlying fear?","[155.0, 160.0]",s032,"A man wearing glasses and a light-colored suit jacket is shown in a close-up, looking down and then slightly up with a faint smile.; The scene cuts to a wider shot showing two men sitting side-by-side in a dimly lit room; the man on the left wears a white shirt and tie, while the man on the right wears a blue denim shirt.; Both men are looking forward, with the man in the denim shirt's hands clasped in his lap.","A male voice speaks in a calm, conversational tone in what sounds like Cantonese.","[s032] Visual: A man wearing glasses and a light-colored suit jacket is shown in a close-up, looking down and then slightly up with a faint smile. The scene cuts to a wider shot showing two men sitting side-by-side in a dimly lit room; the man on the left wears a white shirt and tie, while the man on the right wears a blue denim shirt. Both men are looking forward, with the man in the denim shirt's hands clasped in his lap. | Audio: A male voice speaks in a calm, conversational tone in what sounds like Cantonese. The audio is clear and the speech is continuous throughout the clip."
moviechat_04_159,moviechat_04_159_q06,explicit_event,What moment shows the man on the balcony smiling and laughing while talking to another man?,"[260.0, 265.0]",s053,"man on the left, wearing a light-colored shirt, smiles and gestures with his hand; man on the right, in a dark suit, looks at him and smiles back","male voice speaks in Mandarin, followed by a short laugh","[s053] Visual: Two men stand on a balcony at night. The man on the left, wearing a light-colored shirt, smiles and gestures with his hand. The man on the right, in a dark suit, looks at him and smiles back. | Audio: A male voice speaks in Mandarin, followed by a short laugh."
moviechat_05_30,moviechat_05_30_q07,explicit_event,"When is a person seen falling from a great height amidst a dark, chaotic environment, accompanied by a loud, distorted scream?","[125.0, 130.0]",s026,"a person is seen falling from a great height, tumbling through the air amidst a dark, chaotic environment","loud, distorted scream; deep, rumbling sound","[s026] Visual: A person is seen falling from a great height, tumbling through the air amidst a dark, chaotic environment. The scene then cuts to a low-angle shot of a group of people walking down a long, dimly lit stone corridor with high ceilings and wooden railings. The group is moving forward together, with one person in the center appearing to lead the others. | Audio: A loud, distorted scream is heard, followed by a deep, rumbling sound that suggests a large object falling or collapsing."
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q010,emotion_state,"When does the person appear to be in fear, struggling in deep snow with a siren-like tone audible?","[150.0, 155.0]",s031,"A person in a dark blue robe is lying face down in a deep pile of snow, struggling to move.; Their arms are outstretched, and they are pushing against the snow with their hands.","A loud, high-pitched, and sustained electronic tone, similar to a siren or alarm, is audible.","[s031] Visual: A person in a dark blue robe is lying face down in a deep pile of snow, struggling to move. Their arms are outstretched, and they are pushing against the snow with their hands. A dark wooden door with frosted glass panels is visible behind them. | Audio: A loud, high-pitched, and sustained electronic tone, similar to a siren or alarm, is audible."
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q10,evidence_cue,When does the woman shout and laugh with excitement?,"[125.0, 130.0]",s026,her head tilted back and mouth open as if shouting or laughing.,"A woman is heard shouting and laughing, followed by a man speaking.","[s026] Visual: A woman with blonde hair is seen in a close-up, her head tilted back and mouth open as if shouting or laughing. The scene cuts to a man with dark hair and a beard, wearing a patterned sweater, who is looking off to the side with a neutral expression. The final shot shows an older woman with short, curly gray hair, wearing a dark vest, sitting at a table with a glass and a bottle in front of her, looking forward with a slight smile. | Audio: A woman is heard shouting and laughing, followed by a man speaking. The audio quality is clear."
